,Ortho,Phono,Length,LogFreq,meanRT
1,agenfi,@JEnfi,6,9.19,0
2,albinif,alb!nIf,7,6.76,0
3,antennald,antEn@ld,9,8.8,0
4,bachelove,baC@l@v,9,7.7,0
5,bargait,bArg@t,7,8.25,0
6,bayonug,be@nVg,7,6.4,0
7,bikineer,bIkinIr,8,7.24,0
8,brambo,brambo,6,5.59,0
9,buffaloak,bVf@lok,9,9.03,0
10,cabarix,kab#rIks,7,6.53,0
11,canyok,kanj@k,6,8.35,0
12,casinige,k@sinIJ,8,8.44,0
13,chocolab,COkl@b,8,9.16,0
14,cobalve,kobOlv,7,6.06,0
15,costuke,kAstuk,7,8.13,0
16,couscall,kuskAl,8,5.25,0
17,creval,kr@val,6,7.38,0
18,dolphik,dAlfIk,7,7.4,0
19,dungeoth,dVnJ@T,8,8.17,0
20,fanfairge,fanfErZ,9,6.69,0
21,fiascot,fiaskot,7,7.21,0
22,fiestak,fiEst@k,7,6.42,0
23,flimzool,flImzul,8,6.68,0
24,flotsak,flAts@k,7,5,0
25,formubo,fOrmj@bo,7,9.37,0
26,fortuve,fOrC@v,7,9.68,0
27,kimota,kImotA,6,4.94,0
28,lamex,l@mEks,5,6.55,0
29,lecturb,lEkt#b,7,3.18,0
30,libidel,lIbitEl,7,6,0
31,mayonnote,me@nAt,9,5.56,0
32,mushrood,mVSrud,8,7.54,0
33,napkig,napkIg,6,5.76,0
34,origive,Or@J@v,7,9.75,0
35,pagodax,p@got@ks,7,5.58,0
36,parsleyme,pArslim,9,6.66,0
37,pelviv,pElvIv,6,6.95,0
38,picnin,pIknIn,6,7.23,0
39,potatuck,p@tetUk,8,8.06,0
40,profige,prof!J,7,9.35,0
41,pulpim,pUlpIm,6,5.92,0
42,rescyo,rEskjo,6,9.33,0
43,revenyol,rEv@nol,8,9.03,0
44,scaffost,skafost,8,4.39,0
45,sesamo,sEs@mo,6,7.68,0
46,shrapno,Srapno,7,6.19,0
47,silhoueb,sIluEb,8,7.68,0
48,slenderne,slEnt#n,9,7.5,0
49,slogat,slog@t,6,7.34,0
50,sonatam,s@nAt@m,7,6.67,0
51,soverot,sAvrUt,7,7.95,0
52,targil,tArgIl,6,10.3,0
53,thorant,TOrant,7,4.63,0
54,turquoil,t#kwYl,8,5.91,0
55,vaccik,vaksik,6,8.7,0
